$GPRMC,163421.000,A,3402.6806,N,11829.7029,W,0.00,32.05,200516,,,A*49
$GPRMC,163422.000,A,3402.6806,N,11829.7029,W,0.00,32.05,200516,,,A*4A
$GPRMC,163423.000,A,3402.6806,N,11829.7029,W,0.00,32.05,200516,,,A*4B
$GPRMC,172050.000,A,3402.6782,N,11829.6946,W,0.00,187.96,200516,,,A*7C
$GPRMC,172051.000,A,3402.6782,N,11829.6946,W,0.00,187.96,200516,,,A*7D
$GPRMC,172052.000,A,3402.6782,N,11829.6946,W,0.00,187.96,200516,,,A*7E
$GPRMC,172053.000,A,3402.6782,N,11829.6946,W,0.00,187.96,200516,,,A*7F
$GPRMC,172054.000,A,3402.6782,N,11829.6946,W,0.00,187.96,200516,,,A*78
$GPRMC,172055.000,A,3402.6782,N,11829.6946,W,0.00,187.96,200516,,,A*79
$GPRMC,172056.000,A,3402.6782,N,11829.6946,W,0.00,187.96,200516,,,A*7A
$GPRMC,172057.000,A,3402.6782,N,11829.6946,W,0.00,187.96,200516,,,A*7B
$GPRMC,172058.000,A,3402.6782,N,11829.6946,W,0.00,187.96,200516,,,A*74
$GPRMC,172059.000,A,3402.6782,N,11829.6946,W,0.00,187.96,200516,,,A*75
$GPRMC,172100.000,A,3402.6782,N,11829.6946,W,0.19,187.96,200516,,,A*70
$GPRMC,172101.000,A,3402.6781,N,11829.6945,W,0.27,187.96,200516,,,A*7C
$GPRMC,172102.000,A,3402.6781,N,11829.6946,W,0.00,187.96,200516,,,A*79
$GPRMC,172103.000,A,3402.6781,N,11829.6946,W,0.00,187.96,200516,,,A*78
$GPRMC,172104.000,A,3402.6781,N,11829.6946,W,0.07,187.96,200516,,,A*78
$GPRMC,172105.000,A,3402.6781,N,11829.6946,W,0.13,187.96,200516,,,A*7C
$GPRMC,172106.000,A,3402.6781,N,11829.6946,W,0.00,187.96,200516,,,A*7D
$GPRMC,172107.000,A,3402.6781,N,11829.6946,W,0.00,187.96,200516,,,A*7C
$GPRMC,172108.000,A,3402.6781,N,11829.6946,W,0.00,187.96,200516,,,A*73
$GPRMC,172109.000,A,3402.6781,N,11829.6946,W,0.08,187.96,200516,,,A*7A
$GPRMC,172110.000,A,3402.6780,N,11829.6945,W,0.19,187.96,200516,,,A*70
$GPRMC,172111.000,A,3402.6780,N,11829.6944,W,0.15,187.96,200516,,,A*7C
$GPRMC,172112.000,A,3402.6780,N,11829.6944,W,0.00,187.96,200516,,,A*7B
$GPRMC,172113.000,A,3402.6780,N,11829.6944,W,0.00,187.96,200516,,,A*7A
$GPRMC,172114.000,A,3402.6780,N,11829.6944,W,0.00,187.96,200516,,,A*7D
$GPRMC,172115.000,A,3402.6779,N,11829.6944,W,0.19,187.96,200516,,,A*72
$GPRMC,172116.000,A,3402.6779,N,11829.6944,W,0.00,187.96,200516,,,A*79
